trial_id,company_id,signup_date,product,deployment_type,company_size,region,country,db_platform,persona,acquisition_channel,campaign,landing_variant,trial_length_days,activated,is_pql,sales_assisted,became_sql,trial_extended,extension_days,converted,time_to_convert_days,non_conversion_reason,competitor,plan,acv_usd,mrr_usd,seats_purchased,cac_usd
T100074,C200074,2025-02-17,DPA,self_hosted,SMB,EMEA,United Kingdom,Amazon RDS,DBA,organic,seo-docs,A,30,false,false,false,false,false,0,false,,no_response,,,,,,10.0
T100075,C200075,2025-07-17,DPM,saas,enterprise,LATAM,Mexico,PostgreSQL,DBA,direct,direct,A,14,false,false,false,false,false,0,false,,couldnt_connect_db,,,,,,5.0
T100076,C200076,2025-07-24,DPA,self_hosted,SMB,NAM,United States,Azure SQL,DBA,email,newsletter,A,14,true,false,false,false,false,0,true,7.0,,,Standard,2000.0,167.0,2.0,7.0
T100077,C200077,2026-01-27,SQL Sentry,self_hosted,SMB,APAC,Australia,Azure SQL,IT_ops,paid_social,li-retargeting,B,14,false,false,false,false,false,0,false,,missing_db_platform,,,,,,93.0
T100078,C200078,2025-12-09,DPA,self_hosted,enterprise,EMEA,Germany,Amazon RDS,DBA,channel_partner,reseller-emea,A,14,true,true,true,true,false,0,true,10.0,,,Premier,38200.0,3183.0,32.0,33.0
T100079,C200079,2026-03-21,DPA,self_hosted,SMB,NAM,Canada,Azure SQL,developer,paid_search,gads-sql-monitoring,A,14,false,false,false,false,false,0,false,,no_response,,,,,,105.0
T100080,C200080,2026-01-28,SQL Sentry,self_hosted,mid_market,NAM,Canada,Azure SQL,DBA,organic,organic-brand,A,30,false,false,false,false,false,0,false,,missing_db_platform,,,,,,12.0
T100081,C200081,2025-09-25,SQL Sentry,self_hosted,mid_market,NAM,United States,SQL Server,IT_ops,paid_search,bing-dba,B,14,false,false,false,false,false,0,false,,setup_too_complex,,,,,,101.0
T100082,C200082,2026-04-02,SQL Sentry,self_hosted,SMB,APAC,Australia,SQL Server,DBA,paid_search,gads-brand,A,14,false,false,false,false,false,0,true,6.0,,,Standard,3600.0,300.0,3.0,66.0
T100083,C200083,2025-05-06,DPA,self_hosted,SMB,APAC,Australia,Oracle,developer,organic,seo-blog,B,30,false,false,false,false,false,0,false,,setup_too_complex,,,,,,10.0
T100084,C200084,2025-01-20,DPM,saas,enterprise,NAM,Canada,MySQL,DBA,content,webinar-postgres,B,14,false,false,false,false,false,0,true,13.0,,,Premier,21400.0,1783.0,18.0,23.0
T100085,C200085,2025-03-13,SQL Sentry,self_hosted,mid_market,NAM,United States,Azure SQL,DBA,paid_search,gads-sql-monitoring,B,14,true,false,false,false,false,0,true,12.0,,,Professional,12500.0,1042.0,10.0,93.0
T100086,C200086,2026-02-23,DPM,saas,enterprise,NAM,Canada,MongoDB,DBA,paid_search,gads-dba-tools,A,30,true,true,true,true,false,0,true,17.0,,,Premier,23100.0,1925.0,19.0,84.0
T100087,C200087,2025-10-24,DPA,self_hosted,mid_market,EMEA,United Kingdom,SQL Server,DBA,content,whitepaper-query-tuning,A,14,false,false,false,false,false,0,false,,setup_too_complex,,,,,,41.0
T100088,C200088,2025-05-03,DPA,self_hosted,mid_market,NAM,Canada,Azure SQL,DBA,events,sqlbits,A,30,true,true,true,true,false,0,true,20.0,,,Professional,9600.0,800.0,8.0,112.0
T100089,C200089,2025-11-12,DPA,self_hosted,mid_market,EMEA,France,PostgreSQL,DBA,direct,direct,A,14,false,false,false,false,false,0,false,,no_response,,,,,,6.0
T100090,C200090,2025-04-27,SQL Sentry,self_hosted,SMB,EMEA,UAE,SQL Server,DBA,channel_partner,reseller-emea,B,30,false,false,false,false,false,0,false,,no_response,,,,,,32.0
T100091,C200091,2026-02-11,SQL Sentry,self_hosted,enterprise,EMEA,United Kingdom,SQL Server,DBA,organic,organic-brand,B,14,true,false,false,false,false,0,false,,price,,,,,,10.0
T100092,C200092,2025-10-16,DPA,self_hosted,enterprise,NAM,United States,SQL Server,DBA,organic,organic-brand,B,14,true,true,true,true,false,0,true,3.0,,,Premier,32000.0,2667.0,27.0,9.0
T100093,C200093,2025-09-11,DPA,self_hosted,mid_market,EMEA,UAE,Azure SQL,DBA,content,ebook-sql-server,B,14,false,false,false,false,false,0,false,,couldnt_connect_db,,,,,,33.0
T100094,C200094,2025-07-29,DPA,self_hosted,enterprise,EMEA,Germany,SQL Server,DBA,paid_social,li-retargeting,B,14,false,false,false,false,false,0,false,,setup_too_complex,,,,,,134.0
T100095,C200095,2026-01-13,DPA,self_hosted,SMB,APAC,Australia,Azure SQL,developer,channel_partner,reseller-emea,A,14,false,false,false,false,false,0,false,,setup_too_complex,,,,,,40.0
T100096,C200096,2025-09-01,DPM,saas,SMB,EMEA,Germany,Amazon Aurora,DBA,channel_partner,partner-portal,A,14,true,true,false,false,false,0,false,,price,,,,,,58.0
T100097,C200097,2025-03-12,DPA,self_hosted,SMB,EMEA,France,Oracle,IT_ops,content,webinar-postgres,B,14,false,false,false,false,false,0,false,,setup_too_complex,,,,,,36.0
T100098,C200098,2025-04-03,DPA,self_hosted,mid_market,NAM,United States,Amazon RDS,DBA,referral,g2-review,B,14,true,true,true,true,true,7,true,16.0,,,Professional,11300.0,942.0,9.0,13.0
T100099,C200099,2026-06-01,DPA,self_hosted,SMB,EMEA,Netherlands,MySQL,DBA,paid_search,gads-sql-monitoring,A,30,false,false,false,false,false,0,false,,setup_too_complex,,,,,,85.0
T100100,C200100,2026-05-11,DPA,self_hosted,SMB,EMEA,UAE,SQL Server,developer,email,newsletter,B,14,false,false,false,false,false,0,false,,setup_too_complex,,,,,,7.0
T100101,C200101,2026-02-13,DPM,saas,mid_market,APAC,Australia,PostgreSQL,IT_ops,email,db-tips-drip,A,14,true,true,true,true,false,0,false,,no_response,,,,,,9.0
T100102,C200102,2025-07-08,DPA,self_hosted,SMB,EMEA,United Kingdom,Oracle,IT_ops,paid_social,li-retargeting,B,14,false,false,false,false,false,0,false,,couldnt_connect_db,,,,,,118.0
T100103,C200103,2026-06-04,DPM,saas,mid_market,APAC,Australia,PostgreSQL,DBA,organic,seo-blog,A,30,false,false,false,false,false,0,false,,couldnt_connect_db,,,,,,9.0
T100104,C200104,2026-03-19,SQL Sentry,self_hosted,SMB,APAC,Singapore,Azure SQL,IT_ops,organic,seo-blog,B,14,false,false,false,false,false,0,false,,no_response,,,,,,9.0
T100105,C200105,2026-02-20,SQL Sentry,self_hosted,SMB,NAM,Canada,SQL Server,developer,organic,seo-blog,A,14,true,false,false,false,true,7,false,,chose_competitor,Quest Foglight,,,,,12.0
T100106,C200106,2025-10-17,DPA,self_hosted,mid_market,NAM,Canada,Azure SQL,DBA,paid_search,gads-sql-monitoring,A,14,true,true,true,true,false,0,false,,price,,,,,,81.0
T100107,C200107,2025-07-12,SQL Sentry,self_hosted,SMB,LATAM,Argentina,Azure SQL,DBA,email,newsletter,A,14,false,false,false,false,false,0,false,,no_response,,,,,,6.0
T100108,C200108,2025-03-18,SQL Sentry,self_hosted,SMB,APAC,Japan,Azure SQL,developer,paid_search,gads-sql-monitoring,A,14,false,false,false,false,false,0,false,,missing_db_platform,,,,,,98.0
T100109,C200109,2026-05-08,DPA,self_hosted,SMB,LATAM,Mexico,Oracle,DBA,channel_partner,partner-portal,B,14,false,false,false,false,false,0,false,,setup_too_complex,,,,,,33.0
T100110,C200110,2025-10-21,DPM,saas,enterprise,EMEA,Netherlands,Redis,DBA,content,whitepaper-query-tuning,A,30,false,false,false,false,false,0,false,,couldnt_connect_db,,,,,,43.0
T100111,C200111,2025-05-30,DPA,self_hosted,SMB,LATAM,Mexico,Azure SQL,DBA,paid_social,li-dba-persona,B,14,false,false,false,false,false,0,false,,couldnt_connect_db,,,,,,88.0
T100112,C200112,2025-07-31,DPA,self_hosted,SMB,NAM,United States,MySQL,DBA,paid_search,gads-brand,B,14,true,false,false,false,false,0,true,11.0,,,Standard,2000.0,167.0,2.0,96.0
T100113,C200113,2025-12-20,DPA,self_hosted,mid_market,EMEA,France,Amazon RDS,DBA,organic,seo-docs,A,14,false,false,false,false,false,0,false,,setup_too_complex,,,,,,9.0
T100114,C200114,2025-05-13,SQL Sentry,self_hosted,SMB,EMEA,UAE,SQL Server,DBA,content,whitepaper-query-tuning,A,30,false,false,false,false,false,0,false,,setup_too_complex,,,,,,22.0
T100115,C200115,2026-04-20,DPA,self_hosted,mid_market,NAM,United States,PostgreSQL,DBA,paid_search,gads-sql-monitoring,A,30,false,false,false,false,false,0,false,,couldnt_connect_db,,,,,,62.0
T100116,C200116,2026-03-10,DPA,self_hosted,mid_market,NAM,Canada,Amazon RDS,DBA,referral,g2-review,B,14,true,true,true,true,false,0,true,9.0,,,Professional,8400.0,700.0,7.0,15.0
T100117,C200117,2026-02-21,DPA,self_hosted,SMB,NAM,Canada,Amazon RDS,DBA,events,aws-reinvent,B,14,false,false,false,false,false,0,false,,setup_too_complex,,,,,,161.0
T100118,C200118,2025-10-08,DPA,self_hosted,enterprise,NAM,Canada,Oracle,IT_ops,organic,organic-brand,B,14,true,false,false,false,false,0,false,,missing_db_platform,,,,,,12.0
T100119,C200119,2026-01-11,DPA,self_hosted,mid_market,LATAM,Brazil,Azure SQL,IT_ops,content,ebook-sql-server,A,30,false,false,false,false,false,0,false,,no_response,,,,,,29.0
T100120,C200120,2025-12-22,DPM,saas,mid_market,LATAM,Brazil,MySQL,DBA,channel_partner,reseller-emea,A,14,false,false,false,false,false,0,false,,couldnt_connect_db,,,,,,64.0
T100121,C200121,2026-01-22,DPA,self_hosted,enterprise,APAC,Australia,SQL Server,DBA,referral,customer-referral,A,30,false,false,false,false,false,0,false,,missing_db_platform,,,,,,11.0
T100122,C200122,2025-03-09,DPM,saas,enterprise,LATAM,Brazil,MySQL,IT_ops,referral,customer-referral,B,30,false,false,false,false,false,0,false,,couldnt_connect_db,,,,,,16.0
T100123,C200123,2025-09-30,SQL Sentry,self_hosted,SMB,APAC,Japan,SQL Server,DBA,channel_partner,partner-portal,A,14,true,false,false,false,true,14,true,17.0,,,Standard,3200.0,267.0,3.0,67.0
T100124,C200124,2025-02-04,SQL Sentry,self_hosted,mid_market,LATAM,Argentina,SQL Server,developer,paid_search,gads-dba-tools,B,14,false,false,false,false,false,0,false,,setup_too_complex,,,,,,56.0
T100125,C200125,2025-11-09,DPM,saas,SMB,NAM,Canada,MySQL,developer,content,whitepaper-query-tuning,A,14,true,true,false,false,false,0,true,11.0,,,Standard,2200.0,183.0,2.0,35.0
T100126,C200126,2025-08-14,DPA,self_hosted,mid_market,NAM,Canada,PostgreSQL,DBA,email,db-tips-drip,A,14,false,false,false,false,false,0,false,,missing_db_platform,,,,,,6.0
T100127,C200127,2025-04-21,SQL Sentry,self_hosted,mid_market,APAC,Australia,Azure SQL,DBA,channel_partner,reseller-emea,A,14,true,true,true,true,false,0,false,,missing_db_platform,,,,,,43.0
T100128,C200128,2025-03-23,DPA,self_hosted,SMB,EMEA,United Kingdom,Oracle,DBA,channel_partner,partner-portal,B,14,true,true,false,false,false,0,false,,no_response,,,,,,42.0
T100129,C200129,2025-12-24,DPA,self_hosted,mid_market,APAC,Japan,PostgreSQL,DBA,content,ebook-sql-server,B,30,false,false,false,false,false,0,false,,setup_too_complex,,,,,,29.0
T100130,C200130,2025-05-09,DPA,self_hosted,mid_market,EMEA,France,Amazon RDS,IT_ops,paid_search,gads-brand,B,14,false,false,false,false,false,0,false,,couldnt_connect_db,,,,,,81.0
T100131,C200131,2026-05-17,SQL Sentry,self_hosted,SMB,NAM,United States,SQL Server,DBA,content,ebook-sql-server,A,14,false,false,false,false,false,0,false,,no_response,,,,,,24.0
T100132,C200132,2025-12-21,DPM,saas,mid_market,NAM,United States,Redis,developer,referral,g2-review,A,14,true,true,true,true,false,0,true,11.0,,,Professional,8600.0,717.0,7.0,10.0
T100133,C200133,2025-08-24,DPA,self_hosted,SMB,APAC,Australia,Azure SQL,IT_ops,content,ebook-sql-server,A,14,false,false,false,false,false,0,false,,missing_db_platform,,,,,,33.0
T100134,C200134,2025-12-25,SQL Sentry,self_hosted,mid_market,EMEA,UAE,Azure SQL,developer,organic,organic-brand,A,30,true,true,true,true,false,0,false,,no_response,,,,,,10.0
T100135,C200135,2025-01-20,DPA,self_hosted,SMB,NAM,United States,Azure SQL,DBA,paid_social,li-dba-persona,A,14,false,false,false,false,false,0,false,,couldnt_connect_db,,,,,,129.0
T100136,C200136,2026-05-31,DPA,self_hosted,mid_market,EMEA,United Kingdom,Azure SQL,DBA,events,pass-summit,B,14,false,false,false,false,false,0,false,,couldnt_connect_db,,,,,,122.0
T100137,C200137,2025-11-03,DPA,self_hosted,SMB,EMEA,United Kingdom,Azure SQL,DBA,direct,direct,A,14,false,false,false,false,false,0,false,,couldnt_connect_db,,,,,,4.0
T100138,C200138,2026-03-20,SQL Sentry,self_hosted,mid_market,EMEA,Netherlands,Azure SQL,IT_ops,paid_social,li-retargeting,A,30,false,false,false,false,false,0,false,,setup_too_complex,,,,,,82.0
T100139,C200139,2025-03-08,DPA,self_hosted,mid_market,EMEA,United Kingdom,Amazon RDS,DBA,events,pass-summit,A,14,true,false,false,false,true,7,true,21.0,,,Professional,10900.0,908.0,9.0,136.0
T100140,C200140,2025-11-05,DPA,self_hosted,SMB,EMEA,Netherlands,SQL Server,developer,paid_search,gads-dba-tools,A,14,false,false,false,false,false,0,false,,no_response,,,,,,76.0
