opportunity_id,trial_id,product,region,stage,won,acv_usd
O00037,T00386,DPA,NAM,Proposal,0,6900.0
O00038,T00390,SQL Sentry,LATAM,Discovery,0,5100.0
O00039,T00392,DPM,EMEA,Technical Evaluation,0,17800.0
O00040,T00393,DPA,NAM,Closed Won,1,15900.0
O00041,T00394,SQL Sentry,LATAM,Technical Evaluation,0,31400.0
O00042,T00398,DPA,NAM,Closed Lost,0,
O00043,T00407,DPA,NAM,Discovery,0,21600.0
O00044,T00425,SQL Sentry,LATAM,Closed Lost,0,
O00045,T00452,DPA,NAM,Negotiation,0,10900.0
O00046,T00464,SQL Sentry,NAM,Closed Lost,0,
O00047,T00472,DPA,NAM,Discovery,0,17800.0
O00048,T00485,DPA,APAC,Proposal,0,9400.0
O00049,T00498,DPM,NAM,Closed Lost,0,
O00050,T00504,DPM,NAM,Closed Lost,0,
O00051,T00506,SQL Sentry,NAM,Technical Evaluation,0,3900.0
O00052,T00511,DPA,LATAM,Closed Lost,0,
O00053,T00517,DPA,NAM,Technical Evaluation,0,9300.0
O00054,T00537,SQL Sentry,EMEA,Closed Lost,0,
O00055,T00540,DPM,EMEA,Closed Lost,0,
O00056,T00542,DPA,NAM,Closed Lost,0,
O00057,T00557,SQL Sentry,EMEA,Negotiation,0,52100.0
O00058,T00591,SQL Sentry,LATAM,Closed Lost,0,
O00059,T00597,SQL Sentry,NAM,Technical Evaluation,0,9000.0
O00060,T00601,DPM,EMEA,Closed Lost,0,
O00061,T00608,DPM,NAM,Technical Evaluation,0,19200.0
O00062,T00615,SQL Sentry,NAM,Closed Won,1,11700.0
O00063,T00617,DPM,NAM,Closed Lost,0,
O00064,T00620,DPM,NAM,Technical Evaluation,0,17700.0
O00065,T00627,DPA,EMEA,Closed Lost,0,
O00066,T00639,SQL Sentry,EMEA,Discovery,0,19000.0
O00067,T00654,DPM,APAC,Discovery,0,9400.0
O00068,T00676,SQL Sentry,NAM,Closed Lost,0,
O00069,T00679,DPM,NAM,Discovery,0,15900.0
O00070,T00684,DPA,NAM,Closed Won,1,16000.0
O00071,T00694,SQL Sentry,APAC,Closed Won,1,12000.0
O00072,T00702,SQL Sentry,NAM,Closed Lost,0,
O00073,T00719,DPA,NAM,Closed Lost,0,
O00074,T00723,DPM,NAM,Closed Lost,0,
O00075,T00730,DPA,APAC,Proposal,0,9300.0
O00076,T00750,DPA,EMEA,Closed Won,1,10600.0
O00077,T00753,DPA,EMEA,Technical Evaluation,0,6200.0
O00078,T00767,SQL Sentry,NAM,Negotiation,0,10700.0
O00079,T00773,DPM,NAM,Closed Lost,0,
O00080,T00781,DPA,EMEA,Closed Won,1,16700.0
O00081,T00802,DPM,NAM,Closed Lost,0,
O00082,T00829,SQL Sentry,EMEA,Closed Lost,0,
O00083,T00842,DPA,NAM,Proposal,0,9200.0
O00084,T00848,DPM,NAM,Closed Lost,0,
O00085,T00852,DPM,NAM,Closed Lost,0,
O00086,T00872,DPA,NAM,Closed Lost,0,
O00087,T00885,DPM,NAM,Technical Evaluation,0,19000.0
O00088,T00893,SQL Sentry,EMEA,Closed Won,1,10500.0
O00089,T00910,DPM,NAM,Closed Lost,0,
O00090,T00927,DPA,NAM,Discovery,0,11600.0
O00091,T00931,SQL Sentry,LATAM,Negotiation,0,6800.0
O00092,T00932,DPA,NAM,Technical Evaluation,0,5200.0
O00093,T00935,DPA,EMEA,Proposal,0,33100.0
O00094,T00958,SQL Sentry,APAC,Closed Won,1,6000.0
O00095,T00961,DPA,APAC,Closed Lost,0,
O00096,T00972,SQL Sentry,EMEA,Closed Lost,0,
O00097,T00973,DPM,EMEA,Technical Evaluation,0,4600.0
O00098,T00979,SQL Sentry,EMEA,Closed Won,1,44200.0
O00099,T00985,DPM,LATAM,Discovery,0,3600.0
O00100,T00987,SQL Sentry,APAC,Negotiation,0,13700.0
O00101,T00988,DPA,EMEA,Proposal,0,11800.0
O00102,T01005,SQL Sentry,NAM,Closed Lost,0,
O00103,T01017,DPM,EMEA,Discovery,0,16100.0
O00104,T01043,DPM,NAM,Proposal,0,9700.0
O00105,T01045,DPA,EMEA,Closed Lost,0,
O00106,T01050,SQL Sentry,EMEA,Technical Evaluation,0,9300.0
O00107,T01057,DPA,EMEA,Proposal,0,3600.0
O00108,T01077,DPM,NAM,Closed Lost,0,
O00109,T01104,DPM,LATAM,Proposal,0,17900.0
O00110,T01106,SQL Sentry,APAC,Discovery,0,4700.0
O00111,T01124,SQL Sentry,NAM,Proposal,0,17800.0
O00112,T01128,DPA,NAM,Discovery,0,8100.0
O00113,T01131,DPA,NAM,Discovery,0,38800.0
O00114,T01134,DPA,NAM,Closed Lost,0,
O00115,T01135,SQL Sentry,EMEA,Closed Lost,0,
O00116,T01143,DPA,NAM,Proposal,0,4200.0
O00117,T01147,SQL Sentry,NAM,Closed Lost,0,
O00118,T01166,SQL Sentry,NAM,Closed Lost,0,
O00119,T01187,SQL Sentry,NAM,Closed Lost,0,
O00120,T01190,DPA,NAM,Negotiation,0,26200.0
O00121,T01193,DPM,EMEA,Negotiation,0,12400.0
O00122,T01196,SQL Sentry,NAM,Discovery,0,5000.0
O00123,T01197,DPA,EMEA,Closed Won,1,13700.0
O00124,T01212,SQL Sentry,EMEA,Discovery,0,30100.0
O00125,T01214,SQL Sentry,EMEA,Closed Lost,0,
O00126,T01218,DPM,EMEA,Closed Lost,0,
O00127,T01224,DPM,NAM,Closed Lost,0,
O00128,T01230,DPA,LATAM,Technical Evaluation,0,6100.0
O00129,T01232,DPA,EMEA,Closed Lost,0,
O00130,T01233,DPA,NAM,Closed Lost,0,
O00131,T01237,DPA,EMEA,Discovery,0,13000.0
O00132,T01264,DPA,NAM,Negotiation,0,24200.0
O00133,T01265,DPA,LATAM,Closed Lost,0,
O00134,T01266,DPM,EMEA,Negotiation,0,10600.0
O00135,T01272,DPM,EMEA,Closed Lost,0,
O00136,T01278,SQL Sentry,NAM,Closed Lost,0,
O00137,T01296,SQL Sentry,NAM,Technical Evaluation,0,6700.0
O00138,T01311,DPM,EMEA,Closed Lost,0,
O00139,T01312,DPA,APAC,Proposal,0,17900.0
O00140,T01322,DPA,EMEA,Proposal,0,18300.0
O00141,T01346,SQL Sentry,APAC,Closed Lost,0,
O00142,T01357,DPA,EMEA,Discovery,0,7700.0
O00143,T01370,DPM,NAM,Closed Lost,0,
O00144,T01391,SQL Sentry,EMEA,Closed Lost,0,
O00145,T01397,DPM,EMEA,Closed Lost,0,
O00146,T01409,SQL Sentry,EMEA,Closed Won,1,32900.0
O00147,T01411,DPM,EMEA,Proposal,0,6500.0
O00148,T01419,DPA,EMEA,Technical Evaluation,0,13800.0
O00149,T01425,DPA,EMEA,Closed Lost,0,
O00150,T01427,DPM,EMEA,Closed Won,1,45000.0
O00151,T01437,DPM,NAM,Proposal,0,14000.0
O00152,T01440,SQL Sentry,LATAM,Closed Won,1,6700.0
O00153,T01444,DPM,NAM,Closed Lost,0,
O00154,T01445,DPA,APAC,Closed Lost,0,
O00155,T01456,SQL Sentry,LATAM,Closed Won,1,8900.0
O00156,T01476,DPA,EMEA,Closed Lost,0,
O00157,T01506,DPM,NAM,Negotiation,0,8300.0
O00158,T01512,DPA,NAM,Negotiation,0,24400.0
O00159,T01516,DPA,NAM,Negotiation,0,6200.0
O00160,T01543,DPA,NAM,Proposal,0,10500.0
O00161,T01566,DPA,NAM,Closed Lost,0,
O00162,T01567,DPM,NAM,Closed Lost,0,
O00163,T01578,DPA,EMEA,Discovery,0,16900.0
O00164,T01579,SQL Sentry,APAC,Closed Lost,0,
O00165,T01595,DPA,NAM,Closed Lost,0,
O00166,T01615,DPA,LATAM,Negotiation,0,33700.0
O00167,T01624,DPM,NAM,Proposal,0,26200.0
O00168,T01629,SQL Sentry,LATAM,Discovery,0,8200.0
O00169,T01639,SQL Sentry,NAM,Closed Lost,0,
O00170,T01643,DPA,APAC,Closed Lost,0,
O00171,T01647,DPA,NAM,Technical Evaluation,0,10500.0
O00172,T01651,DPA,APAC,Technical Evaluation,0,7800.0
O00173,T01652,SQL Sentry,NAM,Closed Lost,0,
O00174,T01654,SQL Sentry,NAM,Proposal,0,5000.0
O00175,T01658,DPA,NAM,Negotiation,0,4300.0
O00176,T01663,SQL Sentry,EMEA,Closed Lost,0,
O00177,T01684,DPA,NAM,Closed Lost,0,
O00178,T01699,SQL Sentry,NAM,Closed Lost,0,
O00179,T01703,DPA,NAM,Closed Lost,0,
O00180,T01706,SQL Sentry,EMEA,Technical Evaluation,0,32800.0
O00181,T01714,DPM,APAC,Proposal,0,5200.0
O00182,T01727,DPA,APAC,Closed Lost,0,
O00183,T01750,DPA,NAM,Proposal,0,13500.0
O00184,T01758,SQL Sentry,LATAM,Closed Lost,0,
O00185,T01763,DPM,NAM,Closed Lost,0,
O00186,T01770,SQL Sentry,EMEA,Negotiation,0,30200.0
O00187,T01785,DPA,NAM,Technical Evaluation,0,36700.0
O00188,T01786,DPM,NAM,Closed Lost,0,
O00189,T01797,DPA,EMEA,Technical Evaluation,0,2600.0
O00190,T01804,DPM,APAC,Closed Lost,0,
O00191,T01813,SQL Sentry,EMEA,Discovery,0,6400.0
O00192,T01814,DPA,NAM,Closed Lost,0,
O00193,T01815,DPA,LATAM,Closed Lost,0,
O00194,T01834,SQL Sentry,APAC,Negotiation,0,14300.0
O00195,T01839,DPA,LATAM,Proposal,0,55100.0
O00196,T01843,DPA,NAM,Technical Evaluation,0,12200.0
O00197,T01863,SQL Sentry,EMEA,Closed Lost,0,
O00198,T01881,DPA,NAM,Discovery,0,20200.0
O00199,T01883,SQL Sentry,LATAM,Discovery,0,10200.0
O00200,T01901,DPA,EMEA,Discovery,0,24000.0
O00201,T01910,DPA,NAM,Discovery,0,24800.0
O00202,T01915,DPA,NAM,Closed Lost,0,
O00203,T01917,DPA,EMEA,Closed Lost,0,
O00204,T01920,DPA,EMEA,Closed Lost,0,
O00205,T01926,SQL Sentry,NAM,Closed Lost,0,
O00206,T01940,DPA,APAC,Proposal,0,18500.0
O00207,T01962,DPA,APAC,Discovery,0,4100.0
O00208,T01974,DPA,EMEA,Closed Won,1,39700.0
O00209,T01985,DPA,APAC,Proposal,0,20700.0
O00210,T01994,DPA,NAM,Negotiation,0,14000.0
O00211,T01995,DPA,EMEA,Closed Won,1,42600.0
O00212,T01997,SQL Sentry,NAM,Closed Lost,0,
O00213,T02001,DPA,NAM,Discovery,0,39600.0
O00214,T02005,DPA,NAM,Proposal,0,3400.0
O00215,T02009,SQL Sentry,APAC,Technical Evaluation,0,5000.0
O00216,T02010,SQL Sentry,NAM,Proposal,0,7300.0
O00217,T02033,DPA,APAC,Technical Evaluation,0,7800.0
O00218,T02048,DPA,EMEA,Closed Lost,0,
O00219,T02050,DPA,NAM,Closed Lost,0,
O00220,T02059,DPA,NAM,Closed Lost,0,
O00221,T02089,DPM,NAM,Closed Lost,0,
O00222,T02109,DPM,EMEA,Technical Evaluation,0,12400.0
O00223,T02110,DPA,EMEA,Closed Lost,0,
O00224,T02116,DPA,LATAM,Closed Lost,0,
O00225,T02129,DPM,APAC,Proposal,0,11500.0
O00226,T02153,DPA,APAC,Closed Lost,0,
O00227,T02165,DPA,EMEA,Proposal,0,5200.0
O00228,T02167,DPM,EMEA,Proposal,0,29900.0
O00229,T02170,DPA,NAM,Closed Lost,0,
O00230,T02171,DPA,APAC,Proposal,0,17700.0
O00231,T02179,DPM,APAC,Proposal,0,18000.0
O00232,T02188,SQL Sentry,NAM,Closed Won,1,25000.0
O00233,T02190,DPA,EMEA,Closed Lost,0,
O00234,T02203,DPA,APAC,Discovery,0,15300.0
O00235,T02204,SQL Sentry,APAC,Technical Evaluation,0,6600.0
O00236,T02226,DPA,APAC,Closed Lost,0,
O00237,T02231,SQL Sentry,NAM,Discovery,0,6800.0
O00238,T02243,DPA,EMEA,Closed Lost,0,
O00239,T02260,DPA,LATAM,Closed Lost,0,
O00240,T02264,SQL Sentry,NAM,Discovery,0,9500.0
O00241,T02276,DPA,NAM,Closed Lost,0,
O00242,T02282,SQL Sentry,EMEA,Proposal,0,22600.0
O00243,T02287,DPA,EMEA,Negotiation,0,24300.0
O00244,T02294,DPA,EMEA,Closed Lost,0,
O00245,T02301,SQL Sentry,NAM,Technical Evaluation,0,28000.0
O00246,T02302,SQL Sentry,EMEA,Proposal,0,7900.0
O00247,T02313,DPA,APAC,Closed Lost,0,
O00248,T02321,SQL Sentry,NAM,Technical Evaluation,0,5700.0
O00249,T02325,SQL Sentry,NAM,Negotiation,0,9700.0
O00250,T02355,SQL Sentry,NAM,Discovery,0,10900.0
O00251,T02360,DPA,EMEA,Technical Evaluation,0,23300.0
O00252,T02362,DPM,APAC,Closed Lost,0,
O00253,T02367,DPM,APAC,Closed Lost,0,
O00254,T02374,SQL Sentry,EMEA,Closed Lost,0,
O00255,T02375,DPA,APAC,Discovery,0,6000.0
O00256,T02376,DPA,EMEA,Closed Lost,0,
O00257,T02381,SQL Sentry,NAM,Proposal,0,6300.0
O00258,T02393,DPM,EMEA,Closed Lost,0,
O00259,T02398,DPA,LATAM,Closed Lost,0,
O00260,T02410,DPA,EMEA,Discovery,0,16200.0
O00261,T02430,DPM,EMEA,Proposal,0,25200.0
O00262,T02447,SQL Sentry,APAC,Discovery,0,17000.0
O00263,T02456,DPA,NAM,Closed Lost,0,
O00264,T02468,DPA,LATAM,Closed Lost,0,
O00265,T02470,DPA,NAM,Closed Won,1,8700.0
O00266,T02486,DPA,EMEA,Closed Lost,0,
O00267,T02507,DPA,EMEA,Closed Lost,0,
O00268,T02514,DPA,NAM,Technical Evaluation,0,5700.0
O00269,T02516,DPA,EMEA,Closed Lost,0,
O00270,T02527,DPA,APAC,Technical Evaluation,0,5600.0
O00271,T02530,DPA,APAC,Closed Lost,0,
O00272,T02532,DPM,EMEA,Discovery,0,33200.0
O00273,T02540,SQL Sentry,APAC,Discovery,0,3600.0
O00274,T02542,DPA,NAM,Technical Evaluation,0,28500.0
O00275,T02550,SQL Sentry,EMEA,Closed Lost,0,
O00276,T02574,DPM,APAC,Discovery,0,7300.0
O00277,T02598,SQL Sentry,NAM,Proposal,0,4400.0
O00278,T02613,DPM,APAC,Closed Lost,0,
O00279,T02627,DPM,APAC,Closed Lost,0,
O00280,T02631,SQL Sentry,LATAM,Closed Lost,0,
O00281,T02639,SQL Sentry,LATAM,Closed Lost,0,
O00282,T02641,SQL Sentry,EMEA,Closed Lost,0,
O00283,T02665,SQL Sentry,EMEA,Negotiation,0,14100.0
O00284,T02686,DPA,EMEA,Closed Lost,0,
O00285,T02687,DPM,EMEA,Closed Lost,0,
O00286,T02695,DPM,NAM,Negotiation,0,14400.0
O00287,T02715,DPA,EMEA,Proposal,0,10500.0
O00288,T02720,SQL Sentry,NAM,Proposal,0,11600.0
O00289,T02724,DPA,NAM,Proposal,0,18800.0
O00290,T02725,DPA,EMEA,Closed Lost,0,
O00291,T02727,DPA,EMEA,Discovery,0,5300.0
O00292,T02767,DPA,LATAM,Discovery,0,15200.0
O00293,T02776,DPA,NAM,Discovery,0,16900.0
O00294,T02781,SQL Sentry,NAM,Closed Lost,0,
O00295,T02807,DPA,NAM,Closed Lost,0,
O00296,T02848,SQL Sentry,APAC,Closed Lost,0,
O00297,T02854,DPA,APAC,Closed Won,1,14800.0
O00298,T02857,SQL Sentry,EMEA,Proposal,0,55600.0
O00299,T02871,DPM,NAM,Technical Evaluation,0,37000.0
O00300,T02889,SQL Sentry,APAC,Closed Lost,0,
O00301,T02902,SQL Sentry,NAM,Discovery,0,15000.0
O00302,T02905,DPM,APAC,Negotiation,0,37200.0
O00303,T02916,DPM,LATAM,Technical Evaluation,0,52600.0
O00304,T02929,DPA,LATAM,Closed Lost,0,
O00305,T02930,DPA,EMEA,Discovery,0,32500.0
O00306,T02947,DPM,NAM,Discovery,0,4800.0
O00307,T02983,DPA,EMEA,Technical Evaluation,0,2800.0
O00308,T02995,SQL Sentry,LATAM,Technical Evaluation,0,6300.0
O00309,T03024,DPM,LATAM,Negotiation,0,27400.0
O00310,T03036,DPA,APAC,Negotiation,0,19300.0
O00311,T03037,DPA,EMEA,Proposal,0,6600.0
O00312,T03041,DPA,NAM,Closed Lost,0,
O00313,T03068,DPM,EMEA,Technical Evaluation,0,3100.0
O00314,T03081,DPM,NAM,Technical Evaluation,0,22100.0
O00315,T03097,SQL Sentry,NAM,Discovery,0,7600.0
O00316,T03120,DPM,EMEA,Negotiation,0,23500.0
O00317,T03139,DPM,NAM,Closed Lost,0,
O00318,T03146,DPA,NAM,Negotiation,0,8100.0
O00319,T03155,SQL Sentry,EMEA,Technical Evaluation,0,11600.0
O00320,T03171,DPM,NAM,Technical Evaluation,0,11100.0
O00321,T03225,DPM,NAM,Closed Lost,0,
O00322,T03226,DPA,EMEA,Closed Lost,0,
O00323,T03227,DPA,NAM,Closed Lost,0,
O00324,T03234,DPA,NAM,Negotiation,0,2700.0
O00325,T03238,DPA,NAM,Proposal,0,38900.0
O00326,T03262,DPA,NAM,Technical Evaluation,0,25100.0
O00327,T03271,DPA,EMEA,Proposal,0,12000.0
O00328,T03272,DPM,NAM,Discovery,0,20200.0
O00329,T03276,SQL Sentry,NAM,Technical Evaluation,0,5900.0
O00330,T03287,DPM,NAM,Closed Lost,0,
O00331,T03295,SQL Sentry,NAM,Closed Won,1,33200.0
O00332,T03309,DPA,NAM,Technical Evaluation,0,22200.0
O00333,T03330,DPA,EMEA,Discovery,0,13400.0
O00334,T03331,DPA,NAM,Proposal,0,11000.0
O00335,T03339,DPA,EMEA,Closed Lost,0,
O00336,T03346,SQL Sentry,EMEA,Negotiation,0,16300.0
O00337,T03353,DPA,NAM,Technical Evaluation,0,13100.0
O00338,T03355,DPA,NAM,Discovery,0,8400.0
O00339,T03369,SQL Sentry,NAM,Technical Evaluation,0,15000.0
O00340,T03378,DPA,NAM,Closed Lost,0,
O00341,T03379,SQL Sentry,NAM,Closed Lost,0,
O00342,T03383,DPM,EMEA,Closed Lost,0,
O00343,T03396,DPM,NAM,Closed Lost,0,
O00344,T03412,DPM,NAM,Closed Lost,0,
O00345,T03419,DPM,APAC,Discovery,0,16500.0
O00346,T03435,DPA,NAM,Closed Lost,0,
O00347,T03448,DPA,APAC,Technical Evaluation,0,34900.0
O00348,T03449,DPA,NAM,Closed Lost,0,
O00349,T03472,DPA,APAC,Negotiation,0,42000.0
O00350,T03473,SQL Sentry,EMEA,Closed Lost,0,
O00351,T03484,DPM,NAM,Discovery,0,23800.0
O00352,T03488,DPM,NAM,Closed Lost,0,
O00353,T03509,DPA,NAM,Proposal,0,31900.0
O00354,T03525,DPA,LATAM,Negotiation,0,4800.0
O00355,T03528,SQL Sentry,NAM,Negotiation,0,33000.0
O00356,T03530,DPA,APAC,Technical Evaluation,0,4900.0
O00357,T03539,DPM,APAC,Closed Lost,0,
O00358,T03560,DPA,NAM,Proposal,0,8600.0
O00359,T03575,DPA,NAM,Proposal,0,7400.0
O00360,T03583,DPM,NAM,Proposal,0,3400.0
O00361,T03590,DPA,EMEA,Technical Evaluation,0,7800.0
O00362,T03595,DPA,NAM,Proposal,0,4700.0
O00363,T03597,DPM,APAC,Closed Lost,0,
O00364,T03598,DPA,APAC,Closed Lost,0,
O00365,T03628,SQL Sentry,EMEA,Discovery,0,10300.0
O00366,T03635,DPA,EMEA,Closed Won,1,8900.0
O00367,T03643,DPM,APAC,Negotiation,0,53900.0
O00368,T03646,DPA,NAM,Proposal,0,9800.0
O00369,T03647,SQL Sentry,NAM,Negotiation,0,8300.0
O00370,T03655,DPM,EMEA,Closed Lost,0,
O00371,T03671,DPA,NAM,Technical Evaluation,0,69000.0
O00372,T03687,DPA,NAM,Closed Lost,0,
O00373,T03695,DPM,EMEA,Negotiation,0,8300.0
O00374,T03706,DPA,APAC,Closed Lost,0,
O00375,T03711,SQL Sentry,NAM,Technical Evaluation,0,22600.0
O00376,T03743,DPA,NAM,Closed Lost,0,
O00377,T03752,SQL Sentry,NAM,Negotiation,0,14300.0
O00378,T03765,SQL Sentry,LATAM,Proposal,0,36800.0
O00379,T03782,DPA,APAC,Closed Lost,0,
O00380,T03784,DPA,EMEA,Negotiation,0,26100.0
O00381,T03794,DPA,NAM,Negotiation,0,15000.0
O00382,T03797,DPA,EMEA,Closed Lost,0,
O00383,T03806,DPA,APAC,Closed Won,1,6500.0
O00384,T03812,DPM,APAC,Closed Lost,0,
O00385,T03822,DPA,NAM,Technical Evaluation,0,4900.0
O00386,T03826,DPA,EMEA,Discovery,0,2700.0
O00387,T03827,DPA,NAM,Technical Evaluation,0,23800.0
O00388,T03845,DPM,EMEA,Technical Evaluation,0,6300.0
O00389,T03847,DPA,NAM,Discovery,0,14100.0
O00390,T03863,DPM,EMEA,Discovery,0,11800.0
O00391,T03868,DPA,EMEA,Technical Evaluation,0,10000.0
O00392,T03898,DPA,NAM,Discovery,0,28100.0
O00393,T03910,DPA,EMEA,Closed Lost,0,
O00394,T03927,DPA,NAM,Closed Lost,0,
O00395,T03930,SQL Sentry,EMEA,Technical Evaluation,0,2700.0
O00396,T03932,DPA,EMEA,Closed Lost,0,
O00397,T03949,DPM,NAM,Closed Lost,0,
O00398,T03960,DPM,NAM,Closed Won,1,8800.0
O00399,T03983,DPA,APAC,Closed Lost,0,
O00400,T03992,DPM,NAM,Technical Evaluation,0,2800.0
O00401,T04002,DPM,NAM,Closed Lost,0,
O00402,T04012,DPA,NAM,Technical Evaluation,0,20300.0
O00403,T04037,DPA,EMEA,Closed Lost,0,
O00404,T04038,SQL Sentry,NAM,Technical Evaluation,0,51700.0
O00405,T04065,DPM,APAC,Closed Lost,0,
O00406,T04087,DPA,LATAM,Negotiation,0,10800.0
O00407,T04090,DPM,APAC,Closed Lost,0,
O00408,T04122,SQL Sentry,NAM,Negotiation,0,7700.0
O00409,T04123,DPA,EMEA,Closed Won,1,16400.0
O00410,T04127,DPA,NAM,Discovery,0,4000.0
O00411,T04132,SQL Sentry,EMEA,Closed Lost,0,
O00412,T04164,SQL Sentry,EMEA,Discovery,0,11400.0
O00413,T04224,DPM,EMEA,Closed Lost,0,
O00414,T04238,SQL Sentry,EMEA,Closed Lost,0,
O00415,T04244,DPA,NAM,Discovery,0,11000.0
O00416,T04256,DPA,NAM,Closed Lost,0,
O00417,T04257,SQL Sentry,EMEA,Closed Won,1,10700.0
O00418,T04261,SQL Sentry,NAM,Closed Lost,0,
O00419,T04277,SQL Sentry,EMEA,Closed Lost,0,
O00420,T04298,DPA,NAM,Discovery,0,21800.0
O00421,T04304,DPM,NAM,Technical Evaluation,0,9300.0
O00422,T04305,SQL Sentry,EMEA,Discovery,0,22500.0
O00423,T04327,DPM,EMEA,Closed Lost,0,
O00424,T04333,SQL Sentry,EMEA,Proposal,0,5300.0
O00425,T04342,DPM,NAM,Closed Won,1,9400.0
O00426,T04350,DPA,NAM,Closed Lost,0,
O00427,T04357,DPM,EMEA,Technical Evaluation,0,5600.0
O00428,T04369,SQL Sentry,APAC,Discovery,0,7300.0
O00429,T04417,DPM,NAM,Closed Lost,0,
O00430,T04429,DPM,NAM,Negotiation,0,4400.0
O00431,T04450,DPA,NAM,Discovery,0,12400.0
O00432,T04456,DPA,NAM,Technical Evaluation,0,26200.0
O00433,T04474,DPA,APAC,Closed Lost,0,
O00434,T04491,DPA,NAM,Negotiation,0,4200.0
O00435,T04498,DPA,NAM,Discovery,0,7800.0
O00436,T04499,DPA,EMEA,Negotiation,0,18800.0
O00437,T04500,DPA,NAM,Discovery,0,8100.0
O00438,T04512,SQL Sentry,NAM,Closed Lost,0,
O00439,T04514,SQL Sentry,LATAM,Technical Evaluation,0,12400.0
O00440,T04515,DPM,EMEA,Technical Evaluation,0,5000.0
O00441,T04528,DPA,EMEA,Discovery,0,8000.0
O00442,T04556,DPA,EMEA,Discovery,0,5200.0
O00443,T04557,DPA,NAM,Closed Lost,0,
O00444,T04560,SQL Sentry,NAM,Discovery,0,7200.0
O00445,T04566,DPM,NAM,Discovery,0,9300.0
O00446,T04578,DPA,LATAM,Closed Won,1,21500.0
O00447,T04583,SQL Sentry,EMEA,Proposal,0,49700.0
O00448,T04587,SQL Sentry,LATAM,Closed Lost,0,
O00449,T04625,DPA,NAM,Closed Won,1,16700.0
O00450,T04644,DPA,NAM,Negotiation,0,11100.0
O00451,T04654,DPA,NAM,Closed Won,1,10100.0
O00452,T04659,DPA,EMEA,Discovery,0,27000.0
O00453,T04668,DPM,NAM,Closed Lost,0,
O00454,T04673,DPA,NAM,Discovery,0,31700.0
O00455,T04688,SQL Sentry,LATAM,Closed Won,1,45100.0
O00456,T04708,DPA,NAM,Closed Lost,0,
O00457,T04722,SQL Sentry,NAM,Closed Lost,0,
O00458,T04725,DPM,EMEA,Closed Lost,0,
O00459,T04729,DPM,NAM,Technical Evaluation,0,17300.0
O00460,T04750,DPM,EMEA,Closed Lost,0,
O00461,T04766,SQL Sentry,APAC,Proposal,0,11600.0
O00462,T04810,DPM,NAM,Discovery,0,3400.0
O00463,T04819,DPA,EMEA,Proposal,0,14800.0
O00464,T04827,DPM,EMEA,Closed Lost,0,
O00465,T04842,DPM,NAM,Discovery,0,9200.0
O00466,T04854,SQL Sentry,LATAM,Closed Lost,0,
O00467,T04858,DPA,NAM,Closed Lost,0,
O00468,T04863,DPA,EMEA,Closed Lost,0,
O00469,T04866,DPA,NAM,Closed Lost,0,
O00470,T04869,SQL Sentry,NAM,Negotiation,0,14900.0
O00471,T04887,DPM,NAM,Closed Lost,0,
O00472,T04907,DPM,NAM,Closed Lost,0,
