trial_id,logins,instances_monitored,wait_time_analyses_run,tuning_advisors_used,anomaly_alerts_configured,reports_generated,feature_adoption_rate,engagement_score
T00068,0,0,0,0,0,0,0.0,5
T00069,0,0,0,0,0,0,0.0,1
T00070,0,1,0,0,0,0,0.0,1
T00071,2,0,0,0,0,0,0.0,8
T00072,20,4,9,6,2,2,0.74,84
T00073,0,0,0,0,0,0,0.0,1
T00074,0,0,0,0,0,0,0.0,6
T00075,0,0,0,0,0,0,0.0,1
T00076,10,6,16,6,5,0,0.6,70
T00077,0,0,0,0,0,0,0.0,1
T00078,0,0,0,0,0,0,0.0,3
T00079,0,0,0,0,0,0,0.0,2
T00080,0,0,0,0,0,0,0.0,1
T00081,8,4,2,1,0,1,0.43,31
T00082,14,3,11,3,1,0,0.54,59
T00083,0,0,0,0,0,0,0.0,17
T00084,19,7,11,5,3,1,0.62,67
T00085,16,1,9,3,2,1,0.66,68
T00086,15,5,8,6,1,2,0.6,69
T00087,2,0,0,0,0,0,0.0,3
T00088,0,0,0,0,0,0,0.0,5
T00089,0,1,0,0,0,0,0.0,1
T00090,0,0,0,0,0,0,0.0,1
T00091,1,1,0,0,0,0,0.0,10
T00092,14,1,10,1,1,2,0.67,69
T00093,2,0,0,0,0,0,0.0,3
T00094,0,1,0,0,0,0,0.0,8
T00095,0,0,0,0,0,0,0.0,1
T00096,10,2,9,1,1,4,0.5,53
T00097,12,3,9,1,5,4,0.66,69
T00098,0,0,0,0,0,0,0.0,2
T00099,0,0,0,0,0,0,0.0,2
T00100,1,0,0,0,0,0,0.0,3
T00101,13,3,12,6,0,0,0.72,61
T00102,10,5,11,2,1,0,0.71,73
T00103,0,0,0,0,0,0,0.0,10
T00104,1,1,0,0,0,0,0.0,6
T00105,0,0,0,0,0,0,0.0,4
T00106,0,0,0,0,0,0,0.0,1
T00107,0,0,0,0,0,0,0.0,2
T00108,17,3,13,6,1,2,0.85,85
T00109,1,0,0,0,0,0,0.0,6
T00110,6,3,4,2,1,2,0.53,49
T00111,11,5,5,2,2,3,0.6,55
T00112,14,4,9,5,3,0,0.59,53
T00113,1,1,0,0,0,0,0.0,13
T00114,0,0,0,0,0,0,0.0,1
T00115,10,3,4,2,1,1,0.51,33
T00116,4,2,12,4,1,0,0.67,65
T00117,15,7,6,5,2,0,0.7,64
T00118,1,0,0,0,0,0,0.0,6
T00119,2,1,0,0,0,0,0.0,12
T00120,19,6,16,10,3,2,0.8,94
T00121,21,5,14,5,2,2,0.77,89
T00122,9,2,7,3,0,0,0.5,33
T00123,0,0,0,0,0,0,0.0,1
T00124,4,2,2,3,1,3,0.36,27
T00125,9,2,7,5,4,1,0.6,60
T00126,6,3,6,5,1,1,0.58,50
T00127,4,2,10,1,0,0,0.32,36
T00128,11,7,6,3,1,2,0.73,70
T00129,0,0,0,0,0,0,0.0,1
T00130,21,3,20,6,4,1,0.93,97
T00131,1,1,0,0,0,0,0.0,13
T00132,0,0,0,0,0,0,0.0,9
T00133,10,5,9,1,0,0,0.52,44
T00134,0,0,0,0,0,0,0.0,3
T00135,10,2,18,5,5,0,0.68,76
T00136,0,0,0,0,0,0,0.0,1
T00137,0,0,0,0,0,0,0.0,1
T00138,0,1,0,0,0,0,0.0,9
T00139,1,1,0,0,0,0,0.0,12
T00140,0,0,0,0,0,0,0.0,1
T00141,0,0,0,0,0,0,0.0,4
T00142,9,2,11,2,0,1,0.57,56
T00143,1,1,0,0,0,0,0.0,14
T00144,10,4,3,5,1,0,0.53,47
T00145,17,5,18,7,1,2,0.79,86
T00146,1,1,0,0,0,0,0.0,17
T00147,21,3,8,6,1,1,0.59,65
T00148,1,0,0,0,0,0,0.0,11
T00149,16,4,12,5,3,1,0.64,66
T00150,0,0,0,0,0,0,0.0,4
T00151,5,2,6,6,0,0,0.3,17
T00152,0,0,0,0,0,0,0.0,9
T00153,0,0,0,0,0,0,0.0,11
T00154,18,9,16,8,2,2,0.92,98
T00155,0,0,0,0,0,0,0.0,1
T00156,20,4,11,10,2,2,0.91,95
T00157,0,0,0,0,0,0,0.0,4
T00158,0,0,0,0,0,0,0.0,7
T00159,0,1,0,0,0,0,0.0,12
T00160,0,1,0,0,0,0,0.0,18
T00161,0,1,0,0,0,0,0.0,1
T00162,0,0,0,0,0,0,0.0,6
T00163,2,1,0,0,0,0,0.0,7
T00164,12,7,6,5,3,0,0.66,70
T00165,1,1,0,0,0,0,0.0,3
T00166,4,2,8,2,3,1,0.57,37
T00167,9,3,6,1,1,1,0.46,33
T00168,0,0,0,0,0,0,0.0,1
T00169,0,0,0,0,0,0,0.0,4
T00170,1,1,0,0,0,0,0.0,9
T00171,12,2,8,6,0,1,0.56,64
T00172,1,1,0,0,0,0,0.0,6
T00173,14,2,21,2,1,0,0.69,77
T00174,0,0,0,0,0,0,0.0,1
T00175,0,0,0,0,0,0,0.0,16
T00176,0,0,0,0,0,0,0.0,1
T00177,0,0,0,0,0,0,0.0,6
T00178,15,5,10,10,3,1,0.76,80
T00179,16,7,8,4,4,2,0.72,72
T00180,0,1,0,0,0,0,0.0,10
T00181,15,3,11,2,2,2,0.77,75
T00182,22,3,18,6,1,3,0.83,96
T00183,5,1,1,0,0,1,0.34,21
T00184,0,1,0,0,0,0,0.0,9
T00185,1,0,0,0,0,0,0.0,4
T00186,0,0,0,0,0,0,0.0,5
T00187,0,0,0,0,0,0,0.0,5
T00188,0,1,0,0,0,0,0.0,1
T00189,0,0,0,0,0,0,0.0,1
T00190,0,0,0,0,0,0,0.0,6
T00191,7,4,1,2,0,1,0.34,25
T00192,0,0,0,0,0,0,0.0,1
T00193,5,2,6,0,1,0,0.37,24
T00194,18,3,10,4,0,0,0.65,67
T00195,1,0,0,0,0,0,0.0,4
T00196,0,0,0,0,0,0,0.0,1
T00197,9,3,8,4,1,0,0.47,44
T00198,8,3,8,3,1,1,0.48,47
T00199,0,0,0,0,0,0,0.0,3
T00200,0,0,0,0,0,0,0.0,1
T00201,4,2,11,0,0,1,0.34,26
T00202,6,2,7,1,1,0,0.44,34
T00203,2,1,0,0,0,0,0.0,6
T00204,1,1,0,0,0,0,0.0,22
T00205,15,3,13,8,4,1,0.84,86
T00206,11,3,8,4,3,0,0.65,65
T00207,1,1,0,0,0,0,0.0,4
T00208,0,0,0,0,0,0,0.0,5
T00209,6,4,5,4,0,0,0.51,47
T00210,22,4,15,9,0,1,0.9,100
T00211,1,1,0,0,0,0,0.0,16
T00212,10,4,6,3,3,0,0.49,42
T00213,0,0,0,0,0,0,0.0,9
T00214,0,0,0,0,0,0,0.0,2
T00215,0,0,0,0,0,0,0.0,1
T00216,0,1,0,0,0,0,0.0,9
T00217,14,1,15,6,1,2,0.78,81
T00218,15,7,12,3,1,1,0.69,67
T00219,0,1,0,0,0,0,0.0,4
T00220,0,0,0,0,0,0,0.0,6
T00221,15,1,9,5,1,2,0.66,69
T00222,0,0,0,0,0,0,0.0,2
T00223,1,1,0,0,0,0,0.0,1
T00224,0,0,0,0,0,0,0.0,6
T00225,0,0,0,0,0,0,0.0,5
T00226,1,0,0,0,0,0,0.0,1
T00227,11,3,16,7,1,1,0.81,82
T00228,5,3,1,0,1,0,0.32,18
T00229,8,1,3,1,0,0,0.36,32
T00230,0,0,0,0,0,0,0.0,1
T00231,1,0,0,0,0,0,0.0,5
T00232,0,0,0,0,0,0,0.0,2
T00233,0,0,0,0,0,0,0.0,6
T00234,15,5,13,4,2,1,0.81,87
T00235,2,1,0,0,0,0,0.0,14
T00236,0,0,0,0,0,0,0.0,1
T00237,0,0,0,0,0,0,0.0,9
T00238,0,0,0,0,0,0,0.0,6
T00239,0,0,0,0,0,0,0.0,5
T00240,20,8,17,3,2,2,0.78,88
T00241,1,0,0,0,0,0,0.0,10
T00242,0,0,0,0,0,0,0.0,8
T00243,0,0,0,0,0,0,0.0,1
T00244,8,3,4,1,1,2,0.38,28
T00245,27,5,21,8,5,4,0.86,100
T00246,0,0,0,0,0,0,0.0,2
T00247,0,0,0,0,0,0,0.0,1
T00248,21,4,13,6,3,2,0.73,78
T00249,0,0,0,0,0,0,0.0,1
T00250,0,0,0,0,0,0,0.0,7
T00251,0,0,0,0,0,0,0.0,2
T00252,13,1,3,4,3,0,0.54,47
T00253,8,5,6,2,4,2,0.67,64
T00254,2,1,0,0,0,0,0.0,30
T00255,0,0,0,0,0,0,0.0,14
T00256,13,2,13,6,3,3,0.68,66
T00257,6,2,4,1,0,0,0.35,19
T00258,0,0,0,0,0,0,0.0,2
T00259,22,5,11,6,4,1,0.95,100
T00260,0,0,0,0,0,0,0.0,9
T00261,0,1,0,0,0,0,0.0,16
T00262,0,0,0,0,0,0,0.0,8
T00263,0,0,0,0,0,0,0.0,2
T00264,13,4,5,5,3,1,0.56,58
T00265,0,0,0,0,0,0,0.0,6
T00266,4,3,11,2,1,0,0.57,45
T00267,11,1,3,6,3,1,0.75,68
T00268,0,0,0,0,0,0,0.0,4
T00269,8,2,2,3,0,1,0.35,23
T00270,8,2,9,1,4,4,0.6,59
T00271,1,0,0,0,0,0,0.0,4
T00272,14,3,7,3,3,0,0.58,57
T00273,14,1,11,6,0,3,0.69,68
T00274,5,2,5,0,1,1,0.48,43
T00275,0,0,0,0,0,0,0.0,7
T00276,0,0,0,0,0,0,0.0,1
T00277,9,3,9,2,4,0,0.42,36
T00278,12,4,11,4,1,1,0.68,63
T00279,8,5,5,2,3,0,0.66,54
T00280,18,4,9,6,3,3,0.77,67
T00281,0,1,0,0,0,0,0.0,4
T00282,1,1,0,0,0,0,0.0,6
T00283,1,1,0,0,0,0,0.0,8
T00284,0,0,0,0,0,0,0.0,5
T00285,10,3,13,7,2,2,0.69,71
T00286,0,0,0,0,0,0,0.0,1
T00287,0,0,0,0,0,0,0.0,9
T00288,10,3,6,1,1,1,0.65,53
T00289,16,1,6,2,1,1,0.52,62
T00290,8,4,10,1,3,1,0.51,53
T00291,0,0,0,0,0,0,0.0,1
T00292,2,1,0,0,0,0,0.0,4
T00293,22,5,16,1,1,3,0.85,96
T00294,1,1,0,0,0,0,0.0,16
T00295,0,0,0,0,0,0,0.0,2
T00296,12,1,4,2,3,0,0.52,42
T00297,2,0,0,0,0,0,0.0,1
T00298,0,1,0,0,0,0,0.0,15
T00299,0,0,0,0,0,0,0.0,1
T00300,12,6,10,4,1,0,0.71,67
T00301,18,5,12,5,5,1,0.71,73
T00302,1,0,0,0,0,0,0.0,11
T00303,17,11,18,9,0,0,0.8,88
T00304,0,0,0,0,0,0,0.0,3
T00305,0,0,0,0,0,0,0.0,12
T00306,0,0,0,0,0,0,0.0,5
T00307,0,1,0,0,0,0,0.0,11
T00308,18,6,10,5,5,2,0.73,76
T00309,11,2,8,5,2,1,0.52,42
T00310,0,0,0,0,0,0,0.0,12
T00311,0,0,0,0,0,0,0.0,12
T00312,5,1,6,2,0,1,0.51,39
T00313,0,0,0,0,0,0,0.0,9
T00314,3,2,1,0,1,0,0.37,22
T00315,1,1,0,0,0,0,0.0,15
T00316,1,1,0,0,0,0,0.0,17
T00317,0,0,0,0,0,0,0.0,1
T00318,8,3,12,2,1,1,0.56,65
T00319,0,0,0,0,0,0,0.0,5
T00320,0,0,0,0,0,0,0.0,5
T00321,13,6,13,6,0,0,0.64,68
T00322,0,0,0,0,0,0,0.0,1
T00323,0,0,0,0,0,0,0.0,1
T00324,1,1,0,0,0,0,0.0,21
T00325,3,1,0,0,0,0,0.0,12
T00326,0,0,0,0,0,0,0.0,4
T00327,7,4,10,3,1,2,0.68,59
T00328,2,0,0,0,0,0,0.0,3
T00329,12,3,9,1,1,0,0.51,49
T00330,0,0,0,0,0,0,0.0,1
T00331,1,1,0,0,0,0,0.0,1
T00332,5,5,4,3,2,0,0.67,41
T00333,1,0,0,0,0,0,0.0,1
T00334,9,5,6,5,0,2,0.49,52
T00335,20,4,10,6,2,6,0.66,70
T00336,0,0,0,0,0,0,0.0,3
T00337,0,0,0,0,0,0,0.0,8
T00338,0,1,0,0,0,0,0.0,11
T00339,0,0,0,0,0,0,0.0,6
T00340,0,1,0,0,0,0,0.0,6
T00341,0,0,0,0,0,0,0.0,3
T00342,0,0,0,0,0,0,0.0,12
T00343,0,0,0,0,0,0,0.0,2
T00344,0,0,0,0,0,0,0.0,1
T00345,13,2,12,3,1,1,0.58,59
T00346,8,1,11,3,0,0,0.57,57
T00347,0,0,0,0,0,0,0.0,4
T00348,0,0,0,0,0,0,0.0,1
T00349,1,1,0,0,0,0,0.0,4
T00350,0,0,0,0,0,0,0.0,2
T00351,10,6,10,3,2,1,0.71,66
T00352,1,0,0,0,0,0,0.0,1
T00353,0,0,0,0,0,0,0.0,1
T00354,1,0,0,0,0,0,0.0,5
T00355,0,0,0,0,0,0,0.0,5
T00356,0,0,0,0,0,0,0.0,1
T00357,3,4,8,5,2,2,0.45,43
T00358,1,0,0,0,0,0,0.0,4
T00359,8,2,5,3,3,0,0.61,60
T00360,0,0,0,0,0,0,0.0,3
T00361,0,0,0,0,0,0,0.0,1
T00362,11,4,8,4,2,1,0.46,47
T00363,6,3,5,1,1,2,0.42,21
T00364,18,1,15,4,4,0,0.66,66
T00365,10,1,8,0,0,0,0.39,38
T00366,20,4,16,4,1,3,0.84,85
T00367,8,4,7,7,1,0,0.57,54
T00368,0,0,0,0,0,0,0.0,8
T00369,0,0,0,0,0,0,0.0,14
T00370,0,0,0,0,0,0,0.0,2
T00371,8,2,10,0,4,2,0.54,53
T00372,13,4,13,3,2,0,0.61,62
T00373,0,1,0,0,0,0,0.0,8
T00374,1,0,0,0,0,0,0.0,4
T00375,0,0,0,0,0,0,0.0,5
T00376,0,0,0,0,0,0,0.0,7
T00377,0,0,0,0,0,0,0.0,1
T00378,0,1,0,0,0,0,0.0,11
T00379,0,0,0,0,0,0,0.0,3
T00380,1,1,0,0,0,0,0.0,2
T00381,17,6,10,2,2,0,0.75,79
T00382,4,2,7,3,0,0,0.46,39
T00383,1,0,0,0,0,0,0.0,1
T00384,14,3,18,1,0,2,0.91,91
T00385,11,5,11,4,0,1,0.68,60
T00386,15,8,7,8,3,2,0.81,78
T00387,1,0,0,0,0,0,0.0,1
T00388,0,0,0,0,0,0,0.0,1
T00389,0,0,0,0,0,0,0.0,5
T00390,15,6,9,5,1,2,0.81,80
T00391,0,0,0,0,0,0,0.0,2
T00392,10,3,9,5,2,1,0.69,67
T00393,7,4,7,4,2,0,0.46,48
T00394,16,8,16,3,2,0,0.59,80
T00395,0,1,0,0,0,0,0.0,5
T00396,18,2,15,4,0,0,0.56,68
T00397,1,0,0,0,0,0,0.0,7
T00398,20,6,18,4,1,1,0.8,93
T00399,8,2,10,1,0,1,0.42,30
T00400,17,3,16,4,5,1,0.97,100
T00401,0,0,0,0,0,0,0.0,5
T00402,19,3,19,5,0,4,0.82,100
T00403,0,0,0,0,0,0,0.0,7
T00404,21,7,20,8,5,4,0.92,100
T00405,1,0,0,0,0,0,0.0,1
T00406,1,1,0,0,0,0,0.0,11
T00407,11,4,6,4,0,0,0.59,48
T00408,0,0,0,0,0,0,0.0,4
T00409,0,0,0,0,0,0,0.0,6
T00410,7,2,13,3,0,3,0.4,39
T00411,0,0,0,0,0,0,0.0,5
T00412,0,0,0,0,0,0,0.0,3
T00413,0,0,0,0,0,0,0.0,1
T00414,0,0,0,0,0,0,0.0,15
T00415,1,0,0,0,0,0,0.0,1
T00416,0,0,0,0,0,0,0.0,1
T00417,0,0,0,0,0,0,0.0,3
T00418,0,1,0,0,0,0,0.0,4
T00419,15,1,6,0,1,1,0.5,50
T00420,5,3,11,2,2,0,0.55,44
T00421,13,2,9,2,3,3,0.46,48
T00422,1,0,0,0,0,0,0.0,2
T00423,0,0,0,0,0,0,0.0,7
T00424,0,0,0,0,0,0,0.0,5
T00425,10,3,4,1,3,2,0.56,53
T00426,17,1,6,2,1,1,0.57,64
T00427,14,1,9,3,0,0,0.74,69
T00428,0,0,0,0,0,0,0.0,1
T00429,12,4,9,5,3,0,0.65,60
T00430,6,3,1,2,0,2,0.36,36
T00431,16,1,15,4,2,1,0.59,67
T00432,8,1,7,6,1,1,0.57,50
T00433,1,0,0,0,0,0,0.0,2
T00434,0,0,0,0,0,0,0.0,2
T00435,5,2,4,2,1,1,0.49,35
T00436,11,6,6,0,2,0,0.54,51
T00437,0,0,0,0,0,0,0.0,1
T00438,0,0,0,0,0,0,0.0,1
T00439,0,0,0,0,0,0,0.0,5
T00440,0,1,0,0,0,0,0.0,9
T00441,5,1,7,0,1,0,0.44,37
T00442,8,1,4,1,1,2,0.44,32
T00443,1,0,0,0,0,0,0.0,12
T00444,23,4,19,9,1,3,0.94,100
T00445,0,0,0,0,0,0,0.0,1
T00446,0,0,0,0,0,0,0.0,2
T00447,10,3,4,2,2,0,0.31,33
T00448,0,0,0,0,0,0,0.0,9
T00449,3,3,5,4,0,1,0.37,34
T00450,4,4,5,2,2,1,0.45,33
T00451,0,0,0,0,0,0,0.0,1
T00452,13,4,14,6,3,4,0.81,81
T00453,2,1,0,0,0,0,0.0,21
T00454,5,1,4,0,1,0,0.22,14
T00455,0,0,0,0,0,0,0.0,5
T00456,0,0,0,0,0,0,0.0,6
T00457,4,2,8,3,2,1,0.38,26
T00458,11,2,11,4,0,2,0.54,54
T00459,14,3,7,0,3,4,0.52,43
T00460,0,0,0,0,0,0,0.0,1
T00461,11,2,15,2,3,1,0.54,59
T00462,10,3,14,3,3,1,0.7,67
T00463,7,5,8,3,2,2,0.46,49
T00464,5,5,9,3,2,0,0.56,53
T00465,0,0,0,0,0,0,0.0,2
T00466,19,4,17,5,0,0,0.76,95
T00467,0,0,0,0,0,0,0.0,11
T00468,0,0,0,0,0,0,0.0,4
T00469,8,3,9,3,1,2,0.5,36
T00470,1,0,0,0,0,0,0.0,2
T00471,0,0,0,0,0,0,0.0,3
T00472,12,8,17,7,7,3,0.87,90
T00473,0,0,0,0,0,0,0.0,7
T00474,1,0,0,0,0,0,0.0,6
T00475,0,0,0,0,0,0,0.0,1
T00476,0,0,0,0,0,0,0.0,1
T00477,0,0,0,0,0,0,0.0,13
T00478,0,0,0,0,0,0,0.0,1
T00479,21,6,16,6,1,2,0.8,86
T00480,0,1,0,0,0,0,0.0,2
T00481,0,0,0,0,0,0,0.0,1
T00482,0,0,0,0,0,0,0.0,3
T00483,0,0,0,0,0,0,0.0,4
T00484,12,3,12,4,1,0,0.65,79
T00485,14,5,7,3,2,1,0.84,79
T00486,2,1,5,0,0,0,0.3,19
T00487,9,2,15,1,1,0,0.51,44
T00488,3,2,3,1,0,0,0.29,18
T00489,11,1,6,2,1,0,0.52,46
T00490,0,0,0,0,0,0,0.0,1
T00491,9,3,5,0,2,1,0.39,33
T00492,0,0,0,0,0,0,0.0,1
T00493,5,4,1,2,2,0,0.38,36
T00494,0,1,0,0,0,0,0.0,2
T00495,0,0,0,0,0,0,0.0,4
T00496,5,1,4,3,0,1,0.41,24
T00497,11,2,12,3,2,1,0.48,50
T00498,6,4,3,4,1,0,0.68,48
T00499,19,5,12,6,3,2,0.78,82
T00500,0,0,0,0,0,0,0.0,1
T00501,0,0,0,0,0,0,0.0,1
T00502,0,0,0,0,0,0,0.0,1
T00503,14,6,8,3,3,3,0.74,80
T00504,15,3,12,2,2,1,0.72,75
T00505,0,0,0,0,0,0,0.0,3
T00506,19,4,16,11,0,2,0.79,87
T00507,0,0,0,0,0,0,0.0,5
T00508,8,5,12,2,1,1,0.52,50
T00509,0,0,0,0,0,0,0.0,1
T00510,1,0,0,0,0,0,0.0,1
T00511,20,6,16,10,2,2,0.87,93
T00512,0,0,0,0,0,0,0.0,3
T00513,0,1,0,0,0,0,0.0,6
T00514,0,0,0,0,0,0,0.0,1
T00515,1,1,0,0,0,0,0.0,4
T00516,10,2,11,2,0,2,0.57,54
T00517,16,3,10,5,5,1,0.6,71
T00518,5,1,5,2,3,1,0.36,36
T00519,10,4,9,2,1,1,0.69,61
T00520,3,4,4,1,0,1,0.44,35
T00521,0,0,0,0,0,0,0.0,1
T00522,18,1,15,2,1,0,0.62,62
T00523,0,0,0,0,0,0,0.0,1
T00524,2,0,0,0,0,0,0.0,4
T00525,0,0,0,0,0,0,0.0,1
T00526,1,0,0,0,0,0,0.0,4
T00527,0,1,0,0,0,0,0.0,27
T00528,10,1,10,4,1,2,0.5,51
T00529,8,1,8,4,1,2,0.63,53
T00530,20,7,18,5,2,2,0.83,94
T00531,0,0,0,0,0,0,0.0,1
T00532,0,0,0,0,0,0,0.0,1
T00533,0,0,0,0,0,0,0.0,1
T00534,1,0,0,0,0,0,0.0,1
T00535,1,0,0,0,0,0,0.0,5
T00536,0,0,0,0,0,0,0.0,1
T00537,9,5,8,3,2,3,0.57,62
T00538,23,4,9,8,3,0,0.79,85
T00539,2,1,0,0,0,0,0.0,9
T00540,10,3,15,1,2,1,0.48,54
T00541,9,3,4,4,0,0,0.39,40
T00542,15,3,15,2,2,1,0.67,69
T00543,8,2,5,1,1,2,0.41,30
T00544,12,2,7,5,1,1,0.65,60
T00545,0,0,0,0,0,0,0.0,3
T00546,0,0,0,0,0,0,0.0,4
T00547,11,3,7,0,2,1,0.46,43
T00548,1,1,0,0,0,0,0.0,19
T00549,14,8,18,8,0,1,0.78,94
T00550,10,1,6,1,2,2,0.52,35
T00551,15,6,20,5,4,2,0.78,85
T00552,7,5,12,1,1,0,0.7,63
T00553,0,0,0,0,0,0,0.0,1
T00554,2,1,0,0,0,0,0.0,17
T00555,0,0,0,0,0,0,0.0,9
T00556,0,0,0,0,0,0,0.0,2
T00557,14,7,9,2,1,4,0.81,82
T00558,0,1,0,0,0,0,0.0,5
T00559,0,0,0,0,0,0,0.0,7
T00560,0,0,0,0,0,0,0.0,1
T00561,6,2,5,4,1,0,0.41,33
T00562,16,2,15,5,4,1,0.83,83
T00563,0,0,0,0,0,0,0.0,1
T00564,0,1,0,0,0,0,0.0,6
T00565,1,1,0,0,0,0,0.0,7
T00566,1,0,0,0,0,0,0.0,3
T00567,8,2,6,1,4,0,0.48,46
T00568,13,1,2,2,1,1,0.46,36
T00569,0,0,0,0,0,0,0.0,1
T00570,0,0,0,0,0,0,0.0,1
T00571,13,1,11,5,1,2,0.57,53
T00572,1,1,0,0,0,0,0.0,15
T00573,5,1,8,1,1,0,0.44,36
T00574,13,2,10,5,1,1,0.52,62
T00575,1,0,0,0,0,0,0.0,1
T00576,1,0,0,0,0,0,0.0,2
T00577,16,3,6,4,1,0,0.5,47
T00578,0,0,0,0,0,0,0.0,15
T00579,17,2,6,2,3,2,0.58,68
T00580,1,0,0,0,0,0,0.0,5
T00581,0,0,0,0,0,0,0.0,1
T00582,7,4,5,2,1,2,0.61,44
T00583,1,0,0,0,0,0,0.0,1
T00584,1,1,0,0,0,0,0.0,13
T00585,0,1,0,0,0,0,0.0,37
T00586,0,0,0,0,0,0,0.0,12
T00587,1,1,0,0,0,0,0.0,6
T00588,0,1,0,0,0,0,0.0,15
T00589,0,0,0,0,0,0,0.0,5
T00590,2,0,0,0,0,0,0.0,7
T00591,18,6,12,5,3,2,0.79,78
T00592,0,0,0,0,0,0,0.0,1
T00593,0,0,0,0,0,0,0.0,1
T00594,0,0,0,0,0,0,0.0,8
T00595,1,1,0,0,0,0,0.0,1
T00596,1,1,0,0,0,0,0.0,11
T00597,8,5,13,6,2,0,0.46,48
T00598,0,0,0,0,0,0,0.0,1
T00599,4,1,0,0,0,0,0.0,18
T00600,15,2,15,7,4,2,0.82,79
T00601,13,3,13,6,2,1,0.7,74
T00602,0,1,0,0,0,0,0.0,13
T00603,5,4,13,3,2,2,0.48,46
T00604,0,1,0,0,0,0,0.0,14
T00605,16,7,14,5,2,5,0.74,87
T00606,8,2,8,0,0,0,0.53,35
T00607,0,0,0,0,0,0,0.0,1
T00608,16,7,7,5,1,0,0.6,70
T00609,14,2,5,0,0,0,0.48,43
T00610,0,0,0,0,0,0,0.0,5
T00611,11,4,9,2,2,0,0.56,44
T00612,0,0,0,0,0,0,0.0,10
T00613,0,0,0,0,0,0,0.0,1
T00614,9,3,10,3,2,4,0.67,62
T00615,10,4,12,4,3,1,0.7,74
T00616,0,0,0,0,0,0,0.0,4
T00617,24,9,19,2,0,1,0.67,86
T00618,0,0,0,0,0,0,0.0,1
T00619,6,4,13,2,2,3,0.41,47
T00620,14,6,16,5,5,3,0.84,89
T00621,1,1,0,0,0,0,0.0,13
T00622,0,0,0,0,0,0,0.0,7
T00623,2,1,0,0,0,0,0.0,14
T00624,5,2,5,2,1,0,0.45,30
T00625,13,3,7,1,0,0,0.42,41
T00626,0,0,0,0,0,0,0.0,1
T00627,14,5,16,1,1,3,0.77,85
T00628,15,2,12,2,1,0,0.76,64
T00629,11,4,13,9,1,0,0.77,82
